Nombre de Lengua,Departamento,Familia Lingüística,Número de Habitantes,Número de Hablantes,Vitalidad,Proporcion,Categoria,nCat
TANIMUKA,AMAZONAS,TUKANO,342,194,En peligro de extinción,0.567251462,Peligro,2
YURUTI,VAUPÉS,TUKANO,377,266,En peligro,0.705570292,Peligro,2
YARURO,VICHADA,PUMAFA,63,56,Vulnerable,0.888888889,Vulnerable,1
YAGUA,AMAZONAS,AISLADA,1007,494,En peligro,0.490566038,,0
COCAMA,AMAZONAS,TUPAFA,2204,213,En peligro de extinción,0.096642468,Situacion critica,4
WAYUUNAIKI,LA GUAJIRA,ARAWAK,270413,230514,Vulnerable,0.85245162,Vulnerable,1
Gitanos-Rom,ATLÁNTICO,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable,1
KURRIPACO,GUAINÍA,AISLADA,0,0,En peligro,#�DIV/0!,#�DIV/0!,#�DIV/0!
BARASANA,VAUPÉS,TUKANO,351,232,En situación critica,0.660968661,Peligro,2
BARI,N. SANTANDER,CHIBCHA,5926,3348,Vulnerable,0.564967938,Peligro,2
TARIANO,VAUPÉS,ARAWAK,445,0,En situación critica,0,Situacion critica,4
BORA,AMAZONAS,WITOTO,933,377,Vulnerable,0.404072883,Peligro extincion,3
PALENQUE,BOLÍVAR,CRIOLLA,7470,2788,En peligro,0.373226238,Peligro extincion,3
INGA,PUTUMAYO,QUECHUA,15450,7090,En peligro,0.458899676,Peligro extincion,3
SIONA,PUTUMAYO,TUKANO,1829,404,En situación critica,0.22088573,Situacion critica,4
KOREGUAJE,CAQUETÁ,TUKANO,1767,1384,En peligro,0.783248444,Vulnerable,1
CARIJONA,VAUPÉS,CARIBE,307,10,En situación critica,0.03257329,Situacion critica,4
KUNA,ANTIOQUIA,CHIBCHA,2383,1495,En peligro de extinción,0.62736047,Peligro,2
OCAINA,AMAZONAS,WITOTO,285,94,En peligro de extinción,0.329824561,Peligro extincion,3
TAIWANO,VAUPÉS,TUKANO,166,0,En peligro,0,Situacion critica,4
PIAROA,VICHADA,SALIBA,773,0,En peligro,0,Situacion critica,4
PIRATAPUYO,VAUPÉS,TUKANO,814,574,En situación critica,0.705159705,Peligro,2
IKA ARHUACO,MAGDALENA,CHIBCHA,14700,12800,Vulnerable,0.870748299,Vulnerable,1
COFÁN,PUTUMAYO,AISLADA,1657,544,En peligro de extinción,0.328304164,Peligro extincion,3
AWAPIT,NARIÑO,BARBACOA,25813,8555,En situación critica,0.331422152,Peligro extincion,3
BARÁ,VAUPÉS,TUKANO,0,0,En peligro,#�DIV/0!,#�DIV/0!,#�DIV/0!
KOGUI,MAGDALENA,CHIBCHA,9173,7739,Vulnerable,0.843671645,Vulnerable,1
UITOTO,AMAZONAS,WITOTO,6444,2982,En peligro,0.462756052,Peligro extincion,3
TINIGUA,META,AISLADA,1,1,En situación critica,1,,0
U'WA,ARAUCA,CHIBCHA,7581,6264,En peligro,0.826276217,Vulnerable,1
ANDOQUE,AMAZONAS,AISLADA,200,46,En peligro de extinción,0.23,Situacion critica,4
NUKAK,GUAVIARE,MAKU,1080,299,En peligro,0.276851852,Peligro extincion,3
NAMTRIK,CAUCA,BARBACOA,21085,13715,En peligro,0.650462414,Peligro,2
CACUA,VAUPÉS,TUKANO,482,231,En peligro,0.479253112,Peligro extincion,3
Gitanos-Rom,CÓRDOBA,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable,1
CREOLE,SAN ANDRÉS,CRIOLLA,83403,0,Vulnerable,0,Situacion critica,4
Gitanos-Rom,ANTIOQUIA,ROMANÍ,4858,4220,Vulnerable,0.868670235,Vulnerable,1
CABIYARI,VAUPÉS,ARAWAK,233,82,En situación critica,0.35193133,Peligro extincion,3
MUINANE,AMAZONAS,BORA,87,50,En peligro,0.574712644,Peligro,2
PIAPOCO,VICHADA,ARAWAK,3508,2932,En peligro,0.835803877,Vulnerable,1
KARAPANA,VAUPÉS,TUKANO,482,231,En peligro,0.479253112,Peligro extincion,3
